Type,Fridge_Temperature_C,Humidity_Percentage,Spoilage_Days
Green Chili,5.41279389,77.14733701,6
French Beans,5.263695413,84.93901332,2
Spinach,2.539913553,59.78863411,6
Radish,2.44814993,66.85151878,12
Pomegranate,4.864201808,59.17449329,28
Pointed Gourd,6.913333372,68.39420845,9
Turnip,5.908143435,59.7504884,18
Garlic,6.338460299,59.46013022,86
Lettuce,3.488744308,50.79082347,5
French Beans,4.952527897,82.59247638,3
Green Chili,6.263553917,57.15751724,6
Radish,6.30789356,89.91894166,2
Tomato,6.764860597,53.33074745,5
Green Chili,5.022241933,51.63406822,8
Mint Leaves,5.795814463,63.04157723,1
Pomegranate,2.113562001,78.11056727,31
Potato,5.813939326,87.59810819,53
Jackfruit,6.00399313,81.24692332,1
Banana,6.782243846,54.32151868,2
Pineapple,5.260392408,56.02716066,12
Papaya,5.553757636,80.33110082,2
French Beans,7.938527096,61.82809263,1
Cabbage,5.258167538,81.70841641,16
Cluster Beans,6.043946196,52.9698048,3
Pear,7.145933053,52.39454471,5
Brinjal,6.777248564,60.66791508,2
Lettuce,3.866512104,75.37982385,4
Sweet Potato,4.46083612,63.79353834,44
Onion,6.739062239,74.34146394,25
Banana,7.287074662,79.03255652,1
Mint Leaves,4.401047182,59.51177518,2
Pumpkin,4.883595058,67.51700907,18
Broccoli,5.30264975,79.23827409,6
Sweet Potato,5.122377703,62.29382775,43
Beetroot,5.055472681,89.25570793,24
Ash Gourd,2.355315418,83.28954294,29
Drumstick,7.523762493,67.55831845,4
Snake Gourd,7.65434418,70.35793302,8
Cauliflower,7.216211293,68.26785646,9
Mint Leaves,2.946929552,58.6947178,4
Mango,7.841104397,81.20677513,1
Grapes,6.524698335,51.8640201,10
Carrot,6.169069488,67.31022489,17
Orange,4.851829644,84.19610812,25
Spinach,3.479406217,66.26854958,4
Bottle Gourd,4.722792127,79.30794985,11
Pomegranate,2.630577933,77.68322234,30
Cabbage,7.020939955,84.97087797,13
Carrot,2.610486413,64.87671872,23
Mint Leaves,6.68598687,65.34407645,1
Garlic,2.768855694,50.62791462,91
Potato,6.770775802,87.46899902,52
Mint Leaves,3.739237811,71.29506976,3
Cauliflower,2.155562019,50.51852152,16
Capsicum,7.930068595,63.43115799,4
Mint Leaves,6.432368234,77.53587708,1
Jackfruit,3.194121124,69.18947407,8
Banana,4.19471313,73.93740122,5
Ivy Gourd,4.678987484,88.99558915,9
Cluster Beans,4.382135129,78.48389572,4
Carrot,7.906532764,80.88998485,12
Pomegranate,2.859969187,78.75419176,29
Spinach,3.692106378,70.11965249,4
Ridge Gourd,2.235718453,61.51183374,12
Turnip,4.499041741,65.66516117,20
Banana,4.014367961,53.56803541,6
Radish,2.886078927,89.80156163,7
Beetroot,7.136848378,66.77368083,25
Fenugreek Leaves,3.968221618,62.26243748,3
Bottle Gourd,3.371919223,65.98461026,14
Mint Leaves,3.168553801,83.81737528,1
French Beans,2.204979198,60.02395577,9
Bitter Gourd,7.599319434,56.92695919,1
Pear,4.65995858,53.2686633,9
Papaya,5.052919306,60.15006418,5
Sweet Potato,3.985960538,58.64592743,45
Orange,5.389231909,54.14926237,27
Spring Onion,4.803561574,54.18125353,3
Beetroot,6.249424073,71.70403283,26
Mango,7.588916863,65.16778352,1
Ridge Gourd,3.003091587,76.14429223,10
Broccoli,6.209181134,77.88087175,5
Cauliflower,6.018303496,65.29829469,10
Potato,4.870941376,89.31102418,54
Ginger,4.632527264,78.31717636,17
Bitter Gourd,5.328594059,89.0437168,1
Broccoli,2.505099458,51.14089719,12
French Beans,5.261592486,88.52566749,1
Spring Onion,4.775670382,65.86861618,3
Potato,6.149750856,81.34028694,54
Green Chili,4.418383525,57.43593683,9
Coriander Leaves,2.324300099,52.7299458,5
Ridge Gourd,3.319234662,63.47827815,11
Beetroot,4.169366388,79.84490444,27
Pineapple,2.098793421,87.81020171,13
Pear,6.038249696,71.51674016,6
Onion,7.267223183,89.89271614,21
Cauliflower,4.016935379,68.03045117,13
Bitter Gourd,4.038905779,58.2172396,6
Guava,7.978597399,77.82495454,2
Cabbage,2.586947014,68.46649994,23
Pineapple,4.995115875,60.16291545,12
Grapes,4.035741045,78.81500445,12
French Beans,2.825543429,59.92424336,8
Pumpkin,3.830038165,60.98140322,20
